congress,chamber,state,district,party,name,ideology
100,House,FL,11,Democrat,"NELSON, Clarence William (Bill)",-0.193
100,House,FL,5,Republican,"McCOLLUM, Ira William, Jr. (Bill)",0.377
100,House,FL,15,Republican,"SHAW, Eugene Clay, Jr.",0.3
100,House,FL,9,Republican,"BILIRAKIS, Michael",0.382
100,House,FL,12,Republican,"LEWIS, Thomas F.",0.387
100,House,FL,13,Republican,"MACK, Connie, III",0.466
100,House,FL,6,Democrat,"MacKAY, Kenneth Hood, Jr. (Buddy)",-0.13
100,House,FL,16,Democrat,"SMITH, Lawrence Jack",-0.355
100,House,FL,2,Democrat,"GRANT, James William",-0.218
100,House,GA,10,Democrat,"BARNARD, Druie Douglas, Jr.",-0.028
100,House,GA,9,Democrat,"JENKINS, Edgar Lanier (Ed)",-0.116
100,House,GA,6,Republican,"GINGRICH, Newton Leroy",0.377
100,House,GA,2,Democrat,"HATCHER, Charles Floyd",-0.202
100,House,GA,3,Democrat,"RAY, Richard Belmont",0.035
100,House,GA,8,Democrat,"ROWLAND, James Roy, Jr.",-0.127
100,House,GA,1,Democrat,"THOMAS, Robert Lindsay",-0.14
100,House,GA,7,Democrat,"DARDEN, George (Buddy)",-0.161
100,House,GA,4,Republican,"SWINDALL, Patrick Lynn",0.513
100,House,GA,5,Democrat,"LEWIS, John R.",-0.59
100,House,HI,2,Democrat,"AKAKA, Daniel Kahikina",-0.419
100,House,HI,1,Republican,"SAIKI, Patricia",0.096
100,House,ID,1,Republican,"CRAIG, Larry Edwin",0.494
100,House,ID,2,Democrat,"STALLINGS, Richard Howard",-0.084
100,House,IL,18,Republican,"MICHEL, Robert Henry",0.372
100,House,IL,21,Democrat,"PRICE, Charles Melvin",-0.429
100,House,IL,8,Democrat,"ROSTENKOWSKI, Daniel David",-0.39
100,House,IL,9,Democrat,"YATES, Sidney Richard",-0.494
100,House,IL,11,Democrat,"ANNUNZIO, Frank",-0.398
100,House,IL,12,Republican,"CRANE, Philip Miller",0.739
100,House,IL,15,Republican,"MADIGAN, Edward Rell",0.247
100,House,IL,7,Democrat,"COLLINS, Cardiss",-0.552
100,House,IL,6,Republican,"HYDE, Henry John",0.312
100,House,IL,3,Democrat,"RUSSO, Martin Anthony",-0.192
100,House,IL,10,Republican,"PORTER, John Edward",0.217
100,House,IL,16,Republican,"MARTIN, Lynn Morley",0.345
100,House,IL,2,Democrat,"SAVAGE, Gus",-0.671
100,House,IL,20,Democrat,"DURBIN, Richard Joseph",-0.363
100,House,IL,17,Democrat,"EVANS, Lane Allen",-0.454
100,House,IL,5,Democrat,"LIPINSKI, William Oliver",-0.176
100,House,IL,1,Democrat,"HAYES, Charles Arthur",-0.656
100,House,IL,19,Democrat,"BRUCE, Terry Lee",-0.268
100,House,IL,13,Republican,"FAWELL, Harris W.",0.332
100,House,IL,22,Democrat,"GRAY, Kenneth James",-0.438
100,House,IL,4,Republican,"DAVIS, Jack",0.393
100,House,IL,14,Republican,"HASTERT, John Dennis",0.443
100,House,IL,21,Democrat,"COSTELLO, Jerry Francis",-0.317
100,House,IN,9,Democrat,"HAMILTON, Lee Herbert",-0.171
100,House,IN,10,Democrat,"JACOBS, Andrew, Jr.",-0.07
100,House,IN,7,Republican,"MYERS, John Thomas",0.236
100,House,IN,2,Democrat,"SHARP, Philip Riley",-0.166
100,House,IN,4,Republican,"COATS, Daniel Ray",0.375
100,House,IN,3,Republican,"HILER, John Patrick",0.413
100,House,IN,6,Republican,"BURTON, Danny Lee",0.585
100,House,IN,8,Democrat,"McCLOSKEY, Francis Xavier",-0.336
100,House,IN,1,Democrat,"VISCLOSKY, Peter",-0.402
100,House,IN,5,Democrat,"JONTZ, James Prather",-0.357
100,House,IA,4,Democrat,"SMITH, Neal Edward",-0.313
100,House,IA,1,Republican,"LEACH, James Albert Smith",0.141
100,House,IA,2,Republican,"TAUKE, Thomas Joseph",0.27
100,House,IA,5,Republican,"LIGHTFOOT, James Ross",0.391
100,House,IA,6,Republican,"GRANDY, Frederick Lawrence",0.283
100,House,IA,3,Democrat,"NAGLE, David Ray",-0.349
100,House,KS,4,Democrat,"GLICKMAN, Daniel Robert",-0.133
100,House,KS,5,Republican,"WHITTAKER, Robert Russell",0.346
100,House,KS,1,Republican,"ROBERTS, Charles Patrick (Pat)",0.414
100,House,KS,2,Democrat,"SLATTERY, James Charles",-0.099
100,House,KS,3,Republican,"MEYERS, Jan",0.208
100,House,KY,2,Democrat,"NATCHER, William Huston",-0.288
100,House,KY,3,Democrat,"MAZZOLI, Romano Louis",-0.186
100,House,KY,1,Democrat,"HUBBARD, Carroll, Jr.",-0.038
100,House,KY,6,Republican,"HOPKINS, Larry Jones",0.347
100,House,KY,5,Republican,"ROGERS, Harold Dallas (Hal)",0.333
100,House,KY,7,Democrat,"PERKINS, Carl Christopher",-0.56
100,House,KY,4,Republican,"BUNNING, James Paul David",0.521
100,House,LA,2,Democrat,"BOGGS, Corinne Claiborne (Lindy)",-0.359
100,House,LA,5,Democrat,"HUCKABY, Thomas Jerald",-0.009
100,House,LA,1,Republican,"LIVINGSTON, Robert Linlithgow, Jr.",0.326
100,House,LA,3,Democrat,"TAUZIN, Wilbert Joseph (Billy)",0.03
100,House,LA,4,Democrat,"ROEMER, Charles Elson (Buddy), III",0.178
100,House,LA,6,Republican,"BAKER, Richard Hugh",0.423
100,House,LA,7,Democrat,"HAYES, James Allison",-0.057
100,House,LA,8,Republican,"HOLLOWAY, Clyde Cecil",0.475
100,House,LA,4,Republican,"McCRERY, James O., III",0.362
100,House,ME,2,Republican,"SNOWE, Olympia Jean",0.091
100,House,ME,1,Democrat,"BRENNAN, Joseph Edward",-0.308
100,House,MD,6,Democrat,"BYRON, Beverly Barton Butcher",-0.024
100,House,MD,1,Democrat,"DYSON, Royden Patrick",-0.104
100,House,MD,5,Democrat,"HOYER, Steny Hamilton",-0.38
100,House,MD,2,Republican,"BENTLEY, Helen Delich",0.276
100,House,MD,3,Democrat,"CARDIN, Benjamin Louis",-0.326
100,House,MD,4,Democrat,"McMILLEN, Charles Thomas",-0.214
100,House,MD,7,Democrat,"MFUME, Kweisi",-0.446
100,House,MD,8,Republican,"MORELLA, Constance A.",-0.018
100,House,MA,2,Democrat,"BOLAND, Edward Patrick",-0.306
100,House,MA,1,Republican,"CONTE, Silvio Ottavio",-0.023
100,House,MA,9,Democrat,"MOAKLEY, John Joseph",-0.418
100,House,MA,10,Democrat,"STUDDS, Gerry Eastman",-0.444
100,House,MA,3,Democrat,"EARLY, Joseph Daniel",-0.254
100,House,MA,7,Democrat,"MARKEY, Edward John",-0.504
100,House,MA,11,Democrat,"DONNELLY, Brian Joseph",-0.291
100,House,MA,6,Democrat,"MAVROULES, Nicholas James",-0.342
100,House,MA,4,Democrat,"FRANK, Barney",-0.499
100,House,MA,5,Democrat,"ATKINS, Chester Greenough",-0.407
100,House,MA,8,Democrat,"KENNEDY, Joseph Patrick, II",-0.413
100,House,MI,18,Republican,"BROOMFIELD, William S.",0.227
100,House,MI,16,Democrat,"DINGELL, John David, Jr.",-0.448
100,House,MI,1,Democrat,"CONYERS, John, Jr.",-0.658
100,House,MI,15,Democrat,"FORD, William David",-0.516
100,House,MI,9,Republican,"VANDER JAGT, Guy Adrian",0.247
100,House,MI,8,Democrat,"TRAXLER, Jerome Bob",-0.33
100,House,MI,6,Democrat,"CARR, Milton Robert (Bob)",-0.254
100,House,MI,12,Democrat,"BONIOR, David Edward",-0.547
100,House,MI,7,Democrat,"KILDEE, Dale Edward",-0.385
100,House,MI,2,Republican,"PURSELL, Carl Duane",0.12
100,House,MI,11,Republican,"DAVIS, Robert William",0.098
100,House,MI,3,Democrat,"WOLPE, Howard Eliot, III",-0.374
100,House,MI,13,Democrat,"CROCKETT, George William, Jr.",-0.651
100,House,MI,14,Democrat,"HERTEL, Dennis Mark",-0.345
100,House,MI,17,Democrat,"LEVIN, Sander Martin",-0.378
100,House,MI,5,Republican,"HENRY, Paul B.",0.264
100,House,MI,10,Republican,"SCHUETTE, Bill",0.28
100,House,MI,4,Republican,"UPTON, Frederick Stephen",0.339
100,House,MN,3,Republican,"FRENZEL, William Eldridge",0.353
100,House,MN,8,Democrat,"OBERSTAR, James Louis",-0.553
100,House,MN,4,Democrat,"VENTO, Bruce Frank",-0.472
100,House,MN,7,Republican,"STANGELAND, Arlan Ingehart",0.346
100,House,MN,5,Democrat,"SABO, Martin Olav",-0.516
100,House,MN,2,Republican,"WEBER, John Vincent (Vin)",0.381
100,House,MN,1,Democrat,"PENNY, Timothy Joseph",-0.051
100,House,MN,6,Democrat,"SIKORSKI, Gerald Edward",-0.217
100,House,MS,1,Democrat,"WHITTEN, Jamie Lloyd",-0.161
100,House,MS,3,Democrat,"MONTGOMERY, Gillespie V. (Sonny)",0.017
100,House,MS,5,Republican,"LOTT, Chester Trent",0.39
100,House,MS,4,Democrat,"DOWDY, Charles Wayne",-0.259
100,House,MS,2,Democrat,"ESPY, Alphonso Michael (Mike)",-0.386
100,House,MO,1,Democrat,"CLAY, William Lacy, Sr.",-0.49
100,House,MO,7,Republican,"TAYLOR, Gene",0.328
100,House,MO,6,Republican,"COLEMAN, Earl Thomas",0.262
100,House,MO,3,Democrat,"GEPHARDT, Richard Andrew",-0.416
100,House,MO,4,Democrat,"SKELTON, Isaac Newton, IV (Ike)",-0.172
100,House,MO,9,Democrat,"VOLKMER, Harold Lee",-0.196
100,House,MO,8,Republican,"EMERSON, Norvell William (Bill)",0.332
100,House,MO,5,Democrat,"WHEAT, Alan Dupree",-0.465
100,House,MO,2,Republican,"BUECHNER, John William (Jack)",0.33
100,House,MT,2,Republican,"MARLENEE, Ronald Charles",0.393
100,House,MT,1,Democrat,"WILLIAMS, John Patrick",-0.315
100,House,NE,3,Republican,"SMITH, Virginia Dodd",0.238
100,House,NE,1,Republican,"BEREUTER, Douglas Kent",0.231
100,House,NE,2,Republican,"DAUB, Harold John, Jr., (Hal)",0.391
100,House,NV,2,Republican,"VUCANOVICH, Barbara Farrell",0.441
100,House,NV,1,Democrat,"BILBRAY, James Hubert",-0.184
100,House,NH,2,Republican,"GREGG, Judd Alan",0.429
100,House,NH,1,Republican,"SMITH, Robert C.",0.623
100,House,NJ,10,Democrat,"RODINO, Peter Wallace, Jr.",-0.435
100,House,NJ,3,Democrat,"HOWARD, James John",-0.431
100,House,NJ,8,Democrat,"ROE, Robert A.",-0.326
100,House,NJ,7,Republican,"RINALDO, Matthew John",0.023
100,House,NJ,1,Democrat,"FLORIO, James Joseph",-0.318
100,House,NJ,2,Democrat,"HUGHES, William John",-0.153
100,House,NJ,12,Republican,"COURTER, James Andrew",0.269
100,House,NJ,14,Democrat,"GUARINI, Frank Joseph, Jr.",-0.295
100,House,NJ,6,Democrat,"DWYER, Bernard James",-0.373
100,House,NJ,5,Republican,"ROUKEMA, Margaret Scafati",0.162
100,House,NJ,4,Republican,"SMITH, Christopher Henry",0.161
100,House,NJ,9,Democrat,"TORRICELLI, Robert Guy",-0.262
100,House,NJ,11,Republican,"GALLO, Dean Anderson",0.203
100,House,NJ,13,Republican,"SAXTON, Hugh James",0.238
100,House,NM,1,Republican,"LUJÁN, Manuel, Jr.",0.272
100,House,NM,2,Republican,"SKEEN, Joseph Richard",0.301
100,House,NM,3,Democrat,"RICHARDSON, Bill",-0.321
100,House,NY,23,Democrat,"STRATTON, Samuel Studdiford",-0.139
100,House,NY,29,Republican,"HORTON, Frank Jefferson",-0.004
100,House,NY,8,Democrat,"SCHEUER, James Haas",-0.478
100,House,NY,19,Democrat,"BIAGGI, Mario",-0.339
100,House,NY,21,Republican,"FISH, Hamilton, Jr.",0.07
100,House,NY,31,Republican,"KEMP, Jack French",0.3
100,House,NY,4,Republican,"LENT, Norman Frederick",0.183
100,House,NY,16,Democrat,"RANGEL, Charles B.",-0.514
100,House,NY,22,Republican,"GILMAN, Benjamin Arthur",0.043
100,House,NY,2,Democrat,"DOWNEY, Thomas Joseph",-0.384
100,House,NY,32,Democrat,"LaFALCE, John Joseph",-0.357
100,House,NY,28,Democrat,"McHUGH, Matthew Francis",-0.353
100,House,NY,33,Democrat,"NOWAK, Henry James",-0.332
100,House,NY,13,Democrat,"SOLARZ, Stephen Joshua",-0.429
100,House,NY,17,Democrat,"WEISS, Theodore S.",-0.564
100,House,NY,18,Democrat,"GARCIA, Robert",-0.559
100,House,NY,15,Republican,"GREEN, Sedgwick William (Bill)",-0.044
100,House,NY,24,Republican,"SOLOMON, Gerald Brooks Hunt",0.492
100,House,NY,26,Republican,"MARTIN, David O'Brien",0.232
100,House,NY,5,Republican,"McGRATH, Raymond Joseph",0.185
100,House,NY,14,Republican,"MOLINARI, Guy Victor",0.255
100,House,NY,10,Democrat,"SCHUMER, Charles Ellis (Chuck)",-0.351
100,House,NY,27,Republican,"WORTLEY, George Cornelius",0.207
100,House,NY,7,Democrat,"ACKERMAN, Gary Leonard",-0.429
100,House,NY,25,Republican,"BOEHLERT, Sherwood Louis",0.103
100,House,NY,3,Democrat,"MRAZEK, Robert Jan",-0.349
100,House,NY,12,Democrat,"OWENS, Major Robert Odell",-0.569
100,House,NY,11,Democrat,"TOWNS, Edolphus",-0.519
100,House,NY,20,Republican,"DioGUARDI, Joseph J.",0.218
100,House,NY,9,Democrat,"MANTON, Thomas J.",-0.361
100,House,NY,6,Democrat,"FLAKE, Floyd Harold",-0.455
100,House,NY,1,Democrat,"HOCHBRUECKNER, George Joseph",-0.348
100,House,NY,34,Republican,"HOUGHTON, Amory, Jr.",0.154
100,House,NY,30,Democrat,"SLAUGHTER, Louise McIntosh",-0.465
100,House,NC,1,Democrat,"JONES, Walter Beaman, Sr.",-0.259
100,House,NC,7,Democrat,"ROSE, Charles Grandison, III",-0.319
100,House,NC,8,Democrat,"HEFNER, Willie Gathrel (Bill)",-0.264
100,House,NC,5,Democrat,"NEAL, Stephen Lybrook",-0.145
100,House,NC,11,Democrat,"CLARKE, James McClure",-0.204
100,House,NC,2,Democrat,"VALENTINE, Itimous Thaddeus, Jr., (Tim)",-0.084
100,House,NC,6,Republican,"COBLE, Howard",0.52
100,House,NC,9,Republican,"McMILLAN, John Alexander, III (Alex)",0.294
100,House,NC,10,Republican,"BALLENGER, Cass",0.464
100,House,NC,3,Democrat,"LANCASTER, H. Martin",-0.134
100,House,NC,4,Democrat,"PRICE, David Eugene",-0.342
100,House,ND,1,Democrat,"DORGAN, Byron Leslie",-0.267
100,House,OH,5,Republican,"LATTA, Delbert Leroy",0.391
100,House,OH,8,Republican,"LUKENS, Donald Edgar",0.459
100,House,OH,10,Republican,"MILLER, Clarence E.",0.416
100,House,OH,15,Republican,"WYLIE, Chalmers Pangburn",0.23
100,House,OH,21,Democrat,"STOKES, Louis",-0.578
100,House,OH,16,Republican,"REGULA, Ralph Straus",0.221
100,House,OH,1,Democrat,"LUKEN, Thomas Andrew",-0.163
100,House,OH,2,Republican,"GRADISON, Willis David, Jr.",0.233
100,House,OH,18,Democrat,"APPLEGATE, Douglas Earl",-0.106
100,House,OH,20,Democrat,"OAKAR, Mary Rose",-0.4
100,House,OH,13,Democrat,"PEASE, Donald James",-0.308
100,House,OH,3,Democrat,"HALL, Tony Patrick",-0.28
100,House,OH,11,Democrat,"ECKART, Dennis Edward",-0.242
100,House,OH,6,Republican,"McEWEN, Bob",0.359
100,House,OH,4,Republican,"OXLEY, Michael Garver",0.382
100,House,OH,7,Republican,"DeWINE, Michael",0.289
100,House,OH,19,Democrat,"FEIGHAN, Edward Farrell",-0.304
100,House,OH,9,Democrat,"KAPTUR, Marcia Carolyn (Marcy)",-0.35
100,House,OH,12,Republican,"KASICH, John Richard",0.314
100,House,OH,17,Democrat,"TRAFICANT, James A., Jr.",-0.082
100,House,OH,14,Democrat,"SAWYER, Thomas Charles",-0.377
100,House,OK,6,Democrat,"ENGLISH, Glenn Lee, Jr.",-0.027
100,House,OK,5,Republican,"EDWARDS, Marvin Henry (Mickey)",0.394
100,House,OK,3,Democrat,"WATKINS, Wesley Wade",-0.126
100,House,OK,2,Democrat,"SYNAR, Michael Lynn",-0.321
100,House,OK,4,Democrat,"McCURDY, David Keith",-0.112
100,House,OK,1,Republican,"INHOFE, James Mountain",0.552
100,House,OR,1,Democrat,"AuCOIN, Les",-0.231
100,House,OR,5,Republican,"SMITH, Dennis Alan (Denny)",0.603
100,House,OR,3,Democrat,"WYDEN, Ronald Lee",-0.32
100,House,OR,2,Republican,"SMITH, Robert Freeman",0.396
100,House,OR,4,Democrat,"DeFAZIO, Peter Anthony",-0.429
100,House,PA,10,Republican,"McDADE, Joseph Michael",0.093
100,House,PA,20,Democrat,"GAYDOS, Joseph Matthew",-0.278
100,House,PA,13,Republican,"COUGHLIN, Robert Lawrence",0.204
100,House,PA,6,Democrat,"YATRON, Gus",-0.174
100,House,PA,9,Republican,"SHUSTER, E. G. (Bud)",0.416
100,House,PA,12,Democrat,"MURTHA, John Patrick, Jr.",-0.265
100,House,PA,5,Republican,"SCHULZE, Richard Taylor",0.271
100,House,PA,19,Republican,"GOODLING, William Franklin",0.336
100,House,PA,8,Democrat,"KOSTMAYER, Peter Houston",-0.298
100,House,PA,22,Democrat,"MURPHY, Austin John",-0.081
100,House,PA,18,Democrat,"WALGREN, Douglas",-0.247
100,House,PA,16,Republican,"WALKER, Robert Smith",0.581
100,House,PA,23,Republican,"CLINGER, William Floyd, Jr.",0.176
100,House,PA,2,Democrat,"GRAY, William Herbert, III",-0.511
100,House,PA,15,Republican,"RITTER, Donald Lawrence",0.268
100,House,PA,14,Democrat,"COYNE, William Joseph",-0.494
100,House,PA,1,Democrat,"FOGLIETTA, Thomas Michael",-0.506
100,House,PA,3,Democrat,"BORSKI, Robert Anthony, Jr.",-0.416
100,House,PA,17,Republican,"GEKAS, George William",0.426
100,House,PA,4,Democrat,"KOLTER, Joseph Paul",-0.28
100,House,PA,21,Republican,"RIDGE, Thomas Joseph",0.186
100,House,PA,11,Democrat,"KANJORSKI, Paul E.",-0.303
100,House,PA,7,Republican,"WELDON, Wayne Curtis (Curt)",0.232
100,House,RI,1,Democrat,"ST. GERMAIN, Fernand Joseph",-0.355
100,House,RI,2,Republican,"SCHNEIDER, Claudine",-0.026
100,House,SC,2,Republican,"SPENCE, Floyd Davidson",0.32
100,House,SC,3,Democrat,"DERRICK, Butler Carson, Jr.",-0.215
100,House,SC,5,Democrat,"SPRATT, John McKee, Jr.",-0.256
100,House,SC,6,Democrat,"TALLON, Robert Mooneyhan, Jr. (Robin)",-0.1
100,House,SC,4,Democrat,"PATTERSON, Elizabeth J.",-0.055
100,House,SC,1,Republican,"RAVENEL, Arthur, Jr.",0.162
100,House,SD,1,Democrat,"JOHNSON, Timothy Peter (Tim)",-0.25
100,House,TN,1,Republican,"QUILLEN, James Henry",0.246
100,House,TN,2,Republican,"DUNCAN, John James",0.194
100,House,TN,8,Democrat,"JONES, Ed",-0.245
100,House,TN,9,Democrat,"FORD, Harold Eugene",-0.438
100,House,TN,3,Democrat,"LLOYD, Marilyn Laird",-0.058
100,House,TN,5,Democrat,"BONER, William Hill",-0.228
100,House,TN,4,Democrat,"COOPER, James Hayes Shofner",-0.161
100,House,TN,7,Republican,"SUNDQUIST, Donald Kenneth",0.371
100,House,TN,6,Democrat,"GORDON, Barton Jennings",-0.204
100,House,TN,5,Democrat,"CLEMENT, Robert Nelson",-0.216
100,House,TX,9,Democrat,"BROOKS, Jack Bascom",-0.407
100,House,TX,12,Democrat,"WRIGHT, James Claude, Jr.",-0.383
100,House,TX,20,Democrat,"GONZÁLEZ, Henry B.",-0.538
100,House,TX,10,Democrat,"PICKLE, James Jarrell (Jake)",-0.218
100,House,TX,15,Democrat,"de la GARZA, Eligio, II (Kika)",-0.255
100,House,TX,7,Republican,"ARCHER, William Reynolds, Jr.",0.496
100,House,TX,2,Democrat,"WILSON, Charles",-0.196
100,House,TX,24,Democrat,"FROST, Jonas Martin",-0.316
100,House,TX,11,Democrat,"LEATH, James Marvin",0.049
100,House,TX,18,Democrat,"LELAND, George Thomas (Mickey)",-0.596
100,House,TX,17,Democrat,"STENHOLM, Charles Walter",0.019
100,House,TX,8,Republican,"FIELDS, Jack Milton, Jr.",0.541
100,House,TX,4,Democrat,"HALL, Ralph Moody",0.096
100,House,TX,25,Democrat,"ANDREWS, Michael Allen",-0.135
100,House,TX,3,Republican,"BARTLETT, Harry Stephen (Steve)",0.46
100,House,TX,5,Democrat,"BRYANT, John Wiley",-0.358
100,House,TX,16,Democrat,"COLEMAN, Ronald D'Emory",-0.402
100,House,TX,27,Democrat,"ORTIZ, Solomon P.",-0.272
100,House,TX,6,Republican,"BARTON, Joe Linus",0.528
100,House,TX,13,Republican,"BOULTER, Eldon Beau",0.483
100,House,TX,23,Democrat,"BUSTAMANTE, Albert G.",-0.392
100,House,TX,19,Republican,"COMBEST, Larry Ed",0.458
100,House,TX,22,Republican,"DeLAY, Thomas Dale",0.593
100,House,TX,14,Republican,"SWEENEY, David McCann (Mac)",0.367
100,House,TX,26,Republican,"ARMEY, Richard Keith",0.635
100,House,TX,1,Democrat,"CHAPMAN, Jim",-0.198
100,House,TX,21,Republican,"SMITH, Lamar Seeligson",0.425
100,House,UT,2,Democrat,"OWENS, Douglas Wayne",-0.253
100,House,UT,1,Republican,"HANSEN, James Vear",0.496
100,House,UT,3,Republican,"NIELSON, Howard Curtis",0.505
100,House,VT,1,Republican,"JEFFORDS, James Merrill",0.014
100,House,VA,5,Democrat,"DANIEL, Wilbur Clarence (Dan)",0.161
100,House,VA,8,Republican,"PARRIS, Stanford E.",0.287
100,House,VA,3,Republican,"BLILEY, Thomas Jerome, Jr.",0.382
100,House,VA,10,Republican,"WOLF, Frank Rudolph",0.284
100,House,VA,1,Republican,"BATEMAN, Herbert Harvell",0.242
100,House,VA,9,Democrat,"BOUCHER, Frederick C.",-0.265
100,House,VA,6,Democrat,"OLIN, James R.",-0.119
100,House,VA,4,Democrat,"SISISKY, Norman",-0.122
